id,name,latitude,longitude
92,Marina del Rey,33.98162,-118.45371
93,Nijmegen,51.8425,5.85278
94,University of California Riverside,33.95335,-117.39616
95,Netherlands,52.37403,4.88969
96,Idiap Research Institute,46.07817,7.05099
97,FAIR,37.33939,-121.89496
98,Santa Barbara,34.42083,-119.69819
99,University of Arkansas,36.06258,-94.15743
100,Concordia University,45.50884,-73.58781
101,Xi'an,34.25833,108.92861
102,TomTom,52.21045,9.96486
103,University of Connecticut,41.80843,-72.24952
104,Technical University of Denmark,55.77044,12.50378
105,Zhejiang Gongshang University,30.29365,120.16142
106,Tübingen,48.52266,9.05222
107,Eastern Kentucky University,37.74786,-84.29465
108,Nong Lam University,10.82302,106.62965
109,University of Florida,29.65163,-82.32483
110,Ho Chi Minh City,10.82302,106.62965
111,Vietnam,21.0245,105.84117
112,City College of New York,40.71427,-74.00597
113,Advanced Digital Sciences Center,1.28967,103.85007
114,Assiut University,27.18096,31.18368
115,University of Louisville,38.25424,-85.75941
116,ISLA,37.38283,-5.97317
117,University Of Minnesota,44.97997,-93.26384
118,Informatics Institute,49.23262,7.00982
119,Tsukuba,36.2,140.1
120,Nagoya University,35.18147,136.9064
121,University of Technology,52.00667,4.35556
122,University of Texas at Arlington,32.73569,-97.10807
123,Saarland University,49.23262,7.00982
124,University of Southern Denmark,55.39594,10.38831
125,Cambridge,52.2,0.11667
126,Riverside,33.95335,-117.39616
127,Bernstein Center for Computational Neuroscience,48.52266,9.05222
128,Royal Institute of Technology,59.32938,18.06871
129,Cognition,52.2,0.11667
130,University of Oxford.,51.75222,-1.25596
131,Galen,17.1588,-89.0696
132,Media Lab,38.89511,-77.03637
133,Hengyang Normal University,26.88946,112.61888
134,A Coruña,43.37135,-8.396
135,The University of Texas at Arlington,32.73569,-97.10807
136,Adobe,37.33939,-121.89496
137,Albany,42.65258,-73.75623
138,State University of New York,42.65258,-73.75623
139,Berkeley - Berkeley,37.87159,-122.27275
140,Beijing University of Technology,39.9075,116.39723
141,Central China Normal University,30.58333,114.26667
142,Sharif University of Technology,35.69439,51.42151
143,King's College London,51.50853,-0.12574
144,Oak Ridge National Laboratory,36.01036,-84.26964
145,Max Planck Institute,48.10732,11.45196
146,Bar Ilan University,32.08227,34.81065
147,Huawei Technologies,22.54554,114.0683
148,University Of Wollongong,-34.424,150.89345
149,CyberAgent,35.6895,139.69171
150,Advanced Micro Devices,43.86682,-79.2663
151,Zhejiang University†,30.29365,120.16142
152,Shenzhen Urban Transport Planning Center Co.,22.54554,114.0683
153,Indian Institute of Technology Hyderabad,17.62477,78.08669
154,Technion – Israel Institute of Technology,32.81841,34.9885
155,University of Illinois Chicago,41.85003,-87.65005
156,Hong Kong Polytechnic University,22.27832,114.17469
157,Goethe University Frankfurt,50.11552,8.68417
158,University of New Brunswick,45.94541,-66.66558
159,Russian-Armenian University,40.18111,44.51361
160,Yerevan State University,40.18111,44.51361
161,NetEase,39.9075,116.39723
162,Kuaishou,39.9075,116.39723
163,Peking University+Peking University,39.9075,116.39723
164,Apple†,37.323,-122.03218
165,EMBL,-37.91667,145.11667
166,Department of Physics,53.9,27.56667
167,University of Texas at Dallas,32.94818,-96.72972
168,Mechatronics,48.30639,14.28611
169,University B,33.87029,-117.92534
170,University C,22.29507,82.02366
171,Baidu,39.9075,116.39723
172,University A,30.62798,-96.33441
173,Ukrainian Catholic University,49.83826,24.02324
174,Kunming University of Science and Technology,25.03889,102.71833
175,Icahn School of Medicine at Mount Sinai,40.71427,-74.00597
176,University of Minnesota†,44.97997,-93.26384
177,Group,22.54554,114.0683
178,Allen Institute for Artificial Intelligence,47.60621,-122.33207
179,Fujian Agriculture and Forestry University,26.06139,119.30611
180,Beijing Normal University,39.9075,116.39723
181,Samsung Advanced Institute of Technology,37.28586,127.00993
182,École de technologie supérieure,45.50884,-73.58781
183,University of Kurdistan,35.31495,46.99883
184,University of Bucharest,44.43225,26.10626
185,Yantai University,37.47649,121.44081
186,INRIA†,45.22537,5.8017
187,Cambridge University,52.2,0.11667
188,Surrey,51.23536,-0.57427
189,INRIA Sophia Antipolis,43.63292,6.99911
190,HeFei University of Technology,31.86389,117.28083
191,National Institutes of Health Clinical Center,38.98067,-77.10026
192,University of Iowa,41.66113,-91.53017
193,Cisco Systems,37.33939,-121.89496
194,Delft,52.00667,4.35556
195,Pasadena,34.14778,-118.14452
196,The Netherlands,52.37403,4.88969
197,United International College,22.27694,113.56778
198,New York University Shanghai,31.22222,121.45806
199,Kingston University,51.50853,-0.12574
200,Amirkabir University of Technology,35.69439,51.42151
201,Brazil,-22.90642,-43.18223
202,FRANCE,48.85341,2.3488
203,Tokyo Metropolitan University,35.6895,139.69171
204,Villanova University,40.04622,-75.35991
205,Saitama University,35.90807,139.65657
206,DATA,52.2,0.11667
207,Laboratoire Bordelais de Recherche en Informatique,44.80849,-0.58915
208,DigitalGlobe,39.83665,-105.0372
209,Italian Institute of Technology,44.40478,8.94439
210,Sorbonne université,48.85341,2.3488
211,UNIL,46.52899,6.56261
212,University of Rochester‡,43.15478,-77.61556
213,The University of Sydney*,-33.86785,151.20732
214,Ulsan National Institute of Science and Technology,35.53722,129.31667
215,Lausanne,46.516,6.63282
216,Berlin Institute of Health,52.52437,13.41053
217,Jiangnan University,31.56887,120.28857
218,Universitat de Barcelona,41.38879,2.15899
219,Bristol,51.45523,-2.59665
220,Konkuk University Medical Center,37.566,126.9784
221,. Virginia Tech,37.22957,-80.41394
222,San Jose State University,37.33939,-121.89496
223,. Academia Sinica,25.05306,121.52639
224,Tel-Aviv,32.08088,34.78057
225,MILA,45.50884,-73.58781
226,DeepGlint,39.9075,116.39723
227,Jilian Technology Group,31.22222,121.45806
228,Goethe University,50.11552,8.68417
229,Johannes Kepler University Linz,48.30639,14.28611
230,Macau,22.20056,113.54611
231,Johns Hopkins University Applied Physics Laboratory,39.139,-76.87053
232,The Weizmann Institute of Science,40.71427,-74.00597
233,Las Vegas,36.17497,-115.13722
234,University of Texas - Rio Grande Valley,26.30174,-98.16334
235,University of Nevada,39.52963,-119.8138
236,Memorial University of Newfoundland,47.56494,-52.70931
237,Centre for Neuroscience,51.75222,-1.25596
238,Bioinformatics Institute,52.2,0.11667
239,Max Planck Institute of Molecular Cell Biology and Genetics,51.05089,13.73832
240,Tehran,35.69439,51.42151
241,Utah University,40.76078,-111.89105
242,Iran,35.69439,51.42151
243,Gainesville,33.62594,-97.13335
244,Institute of Computer Technology,26.55695,31.69478
245,Zhejiang,30.29365,120.16142
246,Science Park,45.64953,13.77678
247,Institute of Robotics,42.69751,23.32415
248,University of Leicester,52.6386,-1.13169
249,Wuzhou University,23.48054,111.28848
250,Tongji University†,31.22222,121.45806
251,Max-Planck-Institute for Biogeochemistry,50.92878,11.5899
252,University of Genoa,44.40478,8.94439
253,Centre des Materiaux,36.73575,10.52751
254,New York University  Abu Dhabi,24.45118,54.39696
255,Flinders University,-34.92866,138.59863
256,Hefei Institutes of Physical Science,31.86389,117.28083
257,Jianghan University,30.58333,114.26667
258,Southwest University,29.56026,106.55771
259,Mercedes-Benz,48.78232,9.17702
260,Liaoning Technical University,42.01556,121.65889
261,Institute of Artificial Intelligence,24.45118,54.39696
262,Eastern Institute of Technology,-39.4926,176.91232
263,Dongguk University,37.566,126.9784
264,Suzhou Institute of Biomedical Engineering and Technology,31.30408,120.59538
265,University of Hyogo,34.6913,135.183
266,National Cheng-Kung University,22.99083,120.21333
267,École Polytechnique Fédérale de Lausanne,46.516,6.63282
268,Dalian University of Technology†,38.91222,121.60222
269,ServiceNow,37.35411,-121.95524
270,Dalian University of Technology∗,38.91222,121.60222
271,Shanghai Jiao Tong University*†,31.22222,121.45806
272,Shanghai Jiao Tong University†,31.22222,121.45806
273,University of Toronto‡,43.70643,-79.39864
274,Stanford University†,37.42411,-122.16608
275,University of Tübingen†,48.52266,9.05222
276,University of Seoul,37.566,126.9784
277,Unity∗,43.70643,-79.39864
278,Capital Medical University,39.9075,116.39723
279,BOE Technology Group,39.9075,116.39723
280,Chongqing University of Technology,29.56026,106.55771
281,Mass General Brigham,42.35843,-71.05977
282,Nanjing Normal University,32.06167,118.77778
283,NIST,39.14344,-77.20137
284,Université Sorbonne Paris Nord,48.95833,2.34167
285,Shanghai Maritime University,31.22222,121.45806
286,City University of Hong Kong+Shenzhen Research Institute,22.54554,114.0683
287,Dongguan University of Technology,23.01797,113.74866
288,University of Guelph,43.54594,-80.25599
289,Warsaw University of Technology,52.22977,21.01178
290,Technion-Israel Institute of Technology,32.81841,34.9885
291,Ludwig-Maximilians-Universität München,48.13743,11.57549
292,Tianjin University‡,39.14222,117.17667
293,Tianjin University∗,39.14222,117.17667
294,Oklahoma State University,36.11561,-97.05837
295,United Imaging,31.22222,121.45806
296,MEGVII,39.9075,116.39723
297,University of Wisconsin–Madison†,43.07305,-89.40123
298,Curtin University,-31.95224,115.8614
299,University of Duisburg-Essen,51.45657,7.01228
300,University of Pisa,43.70853,10.4036
301,Pontificia Universidad Católica de Chile,-33.45694,-70.64827
302,Karlsruhe University of Applied Sciences,49.00937,8.40444
303,Korea Aerospace University,37.65639,126.835
304,Polytechnique Montréal,45.50884,-73.58781
305,IMAG,-23.71056,-46.41333
306,Université de Montréal,45.50884,-73.58781
307,University of Cyprus,35.17531,33.3642
308,Université Laval*,46.81228,-71.21454
309,George Washington University,38.89511,-77.03637
310,Research Center for Information Technology Innovation,25.05306,121.52639
311,Information Technologies Institute,40.64361,22.93086
312,Universitat Oberta de Catalunya∗,41.38879,2.15899
313,Massachusetts Institute of Technology‡,42.3751,-71.10561
314,Khalifa University,24.45118,54.39696
315,University of Canberra,-35.28346,149.12807
316,‡National University of Sciences and Technology,33.72148,73.04329
317,School of Information Engineering,48.7939,2.35992
318,Zhengzhou,34.75778,113.64861
319,Toshiba Corporation,35.6895,139.69171
320,University of Wyoming†,41.31137,-105.5911
321,Carbondale,37.72727,-89.21675
322,Salt Lake City,40.76078,-111.89105
323,Southern Illinois University,37.72727,-89.21675
324,Purdue,40.42587,-86.90807
325,San Francisco,37.77493,-122.41942
326,University of Perugia,43.1122,12.38878
327,Sharif University,35.69439,51.42151
328,Louisville,38.25424,-85.75941
329,Max Planck Institute of Immunobiology and Epigenetics,47.9959,7.85222
330,Rennes,48.11198,-1.67429
331,– Japan,35.6895,139.69171
332,Shanghai Institutes for Biological Sciences,31.22222,121.45806
333,University of Bergen,60.39299,5.32415
334,Communications,35.6895,139.69171
335,Universidad de Santiago de Chile,-33.45694,-70.64827
336,- Japan,35.6895,139.69171
337,University of Jena,50.92878,11.5899
338,Lomonosov Moscow State University,55.75222,37.61556
339,Universidad de Valladolid,41.65518,-4.72372
340,Jeonbuk National University,35.82194,127.14889
341,InterDigital,39.74595,-75.54659
342,Shenzhen People’s Hospital,22.54554,114.0683
343,KDDI Research,35.86142,139.51532
344,Edinburgh University,55.95206,-3.19648
345,Snowflake,45.67965,-111.03856
346,IT University of Copenhagen,55.67594,12.56553
347,Grand Canyon University,33.44838,-112.07404
348,LinkedIn,37.36883,-122.03635
349,Allstate,42.09975,-87.7809
350,Shahid Beheshti University,35.69439,51.42151
351,Technology Innovation Institute,24.45118,54.39696
352,Xiaohongshu,31.22222,121.45806
353,China Huaneng,39.9075,116.39723
354,Beijing jiaotong university,39.9075,116.39723
355,Nara National Research Institute for Cultural Properties,34.68505,135.80486
356,Dongbei University of Finance And Economics,38.91222,121.60222
357,Institute of automation,39.9075,116.39723
358,Chinese Academy Sciences,39.9075,116.39723
359,Universität Kaiserslautern,49.19844,8.11692
360,Zhongnan University of Economics and Law,30.58333,114.26667
361,University of Massachusetts Boston,42.35843,-71.05977
362,North University of China,37.86944,112.56028
363,kuaishou,39.9075,116.39723
364,Tsukuba University,36.2,140.1
365,fujian medical university,26.06139,119.30611
366,Queen's University Belfast,54.59682,-5.92541
367,Hokkaido University,43.06667,141.35
368,Shanghai Business School,31.22222,121.45806
369,Tibet University,29.65,91.1
370,Southwestern University,32.78306,-96.80667
371,Université Paris Saclay,48.68333,2.13333
372,Lahore University of Management Sciences,31.558,74.35071
373,Foundation for Research and Technology,35.32787,25.14341
374,VISA,37.55855,-122.27108
375,Kookmin University,37.566,126.9784
376,Korea Institute for Advanced Study,37.566,126.9784
377,Shanghai University of Engineering Science,31.22222,121.45806
378,Electrical Engineering Department,41.85003,-87.65005
379,genentech,37.77493,-122.41942
380,Birla Institute of Technology and Science,28.36725,75.60352
381,The Institute of Statistical Mathematics,35.6895,139.69171
382,Universidad Carlos III de Madrid,40.4165,-3.70256
383,Abdus Salam International Centre for Theoretical Physics,45.64953,13.77678
384,jiangnan University,31.56887,120.28857
385,United Imaging Healthcare,31.22222,121.45806
386,Harvard-MIT Health Sciences and Technology,42.3751,-71.10561
387,Institut de Recherche en Informatique de Toulouse,43.60426,1.44367
388,Université d'Angers,47.47156,-0.55202
389,Fermi National Accelerator Laboratory,41.85003,-88.31257
390,Cluster,48.24896,11.65101
391,University of Antwerp,51.22047,4.40026
392,shanxi university,37.86944,112.56028
393,University of Tartu,58.38062,26.72509
394,Telecom SudParis,48.63389,2.44417
395,saarland university,49.23262,7.00982
396,Onto Innovation,34.23556,-77.94604
397,Université Gustave Eiffel,48.85,2.6
398,UCLouvain,50.66829,4.61443
399,Fuyang Normal University,32.9,115.81667
400,University of Louisiana at Lafayette,30.22409,-92.01984
401,CNRS@CREATE LTD.,1.28967,103.85007
402,University of Kansas Medical Center,39.11417,-94.62746
403,Pasqal,48.85341,2.3488
404,University of Montana,46.87215,-113.994
405,Santa Fe Institute,35.68698,-105.9378
406,University of Waikato,-37.78333,175.28333
407,University of Applied Sciences Western Switzerland,47.36493,7.34453
408,tiangong university,39.14222,117.17667
409,Max Planck Institute for Software Systems,49.23262,7.00982
410,Kent State University,41.15367,-81.35789
411,Sungshin Women's University,37.566,126.9784
412,University of South Carolina - Aiken,33.56042,-81.71955
413,Defence Science and Technology Group,-35.28346,149.12807
414,Valeo,48.85341,2.3488
415,the Graduate University for Advanced Studies,35.27651,139.57733
416,Hanoi University of Science and Technology,21.0245,105.84117
417,Université Paris Nord,48.95833,2.34167
418,Toronto University,43.70643,-79.39864
419,University of Münster,51.96236,7.62571
420,University of Siena,43.31822,11.33064
421,Singapore Institute of Manufacturing Technology,1.28967,103.85007
422,Università della Svizzera Italiana,46.01008,8.96004
423,Potsdam Institute for Climate Impact Research,52.39886,13.06566
424,NanJing University,32.06167,118.77778
425,Michigan Technological University,47.12187,-88.56901
426,University of Oklahoma,35.22257,-97.43948
427,Institute of Advanced Technology,36.34913,127.38493
428,"Sofia University ""St. Kliment Ohridski""",42.69751,23.32415
429,University of North Carolina Charlotte,35.22709,-80.84313
430,Indian Institute of Science Education and Research Kolkata,22.56263,88.36304
431,West Bengal National University of Juridical Sciences,22.56263,88.36304
432,University of Edinburgh†,55.95206,-3.19648
433,Universidad Politécnica de Madrid,40.4165,-3.70256
434,Milwaukee School of Engineering,43.0389,-87.90647
435,Singapore University of Technology and Design+,1.28967,103.85007
436,CMU†,22.80087,113.29208
437,UC San Diego∗,32.71571,-117.16472
438,Columbia University⋄,40.71427,-74.00597
439,Heinrich-Heine University Düsseldorf,51.22172,6.77616
440,Kempelen Institute of Intelligent Technologies,48.14816,17.10674
441,University of Gothenburg,57.70716,11.96679
442,Stony Brook University†,40.92565,-73.14094
443,King Fahd University of Petroleum and Minerals,26.28864,50.11396
444,Prince Sattam bin Abdulaziz University,24.15541,47.33457
445,Saarland University⋄,49.23262,7.00982
446,Cisco+,37.33939,-121.89496
447,Nantes Université,47.21725,-1.55336
448,Japan Advanced Institute of Science and Technology,36.43593,136.54456
449,Ministry of Justice,51.50853,-0.12574
450,Meisei University,35.6895,139.69171
451,UNION INFORMATION,35.32787,25.14341
452,Universidade Federal do Rio Grande do Sul,-30.03283,-51.23019
453,Institute of Computing,39.9075,116.39723
454,Seed Foundation,38.89511,-77.03637
455,Miles,33.48594,-86.91194
456,Amazon‡,47.60621,-122.33207
457,National Central University,24.99368,121.29696
458,Humboldt Universität zu Berlin,52.52437,13.41053
459,Duolingo,40.44062,-79.99589
460,University of Strathclyde†,55.86515,-4.25763
461,University of Chinese Academy of Sciences⊛,39.9075,116.39723
462,Fudan University†*,31.22222,121.45806
463,Fudan University†,31.22222,121.45806
464,University of Marburg,50.80904,8.77069
465,University of Galway,53.27245,-9.05095
466,Zhejiang University of Technology‡,30.29365,120.16142
467,Zhejiang University of Technology‡∗,30.29365,120.16142
468,Zhejiang University†‡,30.29365,120.16142
469,Zhejiang University†§,30.29365,120.16142
470,National and Kapodistrian University of Athens,37.98376,23.72784
471,Clausthal University of Technology,51.80949,10.33821
472,BASF,49.48121,8.44641
473,Oberlin College,41.29394,-82.21738
474,Peking University▲,39.9075,116.39723
475,Sun-Yat Sen University,23.11667,113.25
476,Nanjing Audit University,32.06167,118.77778
477,the University of Melbourne,-37.814,144.96332
478,State Grid Corporation of China,39.9075,116.39723
479,IBM Research - Tokyo,35.6895,139.69171
480,LG Chem,37.566,126.9784
481,University of Richmond,37.55376,-77.46026
482,University of Edinburgh University,55.95206,-3.19648
483,Democritus University of Thrace,41.11917,25.40535
484,Brain Technologies,32.14613,34.8394
485,Copenhagen Business School,55.67594,12.56553
486,Shanxi University of Finance and Economics,37.86944,112.56028
487,Harrisburg University of Science and Technology,40.2737,-76.88442
488,Hong Kong University of Science and Technology†,22.27832,114.17469
489,Amazon⋆,47.60621,-122.33207
490,University of Ibadan,7.37756,3.90591
491,University of Buea,4.15342,9.24231
492,Nnamdi Azikiwe University,6.21269,7.07199
493,Telkom University,-6.92222,107.60694
494,Hong Kong University of Science and Technology  + Hong Kong University of Science and Technology,22.27832,114.17469
495,University of Southern California†,34.05223,-118.24368
496,BINUS,-6.21462,106.84513
497,Central University of Rajasthan,26.4521,74.63867
498,Hyundai Motor Group,37.566,126.9784
499,Adobe Systems∗,37.33939,-121.89496
500,Delhi Technological University,28.62137,77.2148
501,△Sichuan University,30.66667,104.06667
502,University of Maryland∗,38.98067,-76.93692
503,IBM Research Ireland,53.33306,-6.24889
504,Campus Bio-Medico University,41.89193,12.51133
505,University of Latvia,56.946,24.10589
506,Department of Humanities,53.9,27.56667
507,RWTH-Aachen University,50.77664,6.08342
508,Oakland University,42.68059,-83.13382
509,the University of Tokyo,35.6895,139.69171
510,University of Klagenfurt,46.62472,14.30528
511,Smith College,42.32509,-72.6412
512,Toyota Motor Corporation,47.32163,7.98254
513,Technische Universität Braunschweig,52.26594,10.52673
514,Université de Bretagne Sud,47.74817,-3.37177
515,Universitatea Bucuresti,44.43225,26.10626
516,dalian university of technology,38.91222,121.60222
517,Institute of information engineering,39.9075,116.39723
518,Nanjing University Of Science And Technology,32.06167,118.77778
519,Vector,43.70643,-79.39864
520,Umeå University,63.82842,20.25972
521,BNP Paribas,48.85341,2.3488
522,Amplitude,44.80565,-0.6324
523,National Taipei University,25.05306,121.52639
524,T-Bank,42.88645,-78.87837
525,Splunk,37.77493,-122.41942
526,Institut National des Sciences Appliquées de Toulouse,43.60426,1.44367
527,Institute of Advanced Research in Artificial Intelligence,48.20849,16.37208
528,Natural Resources Institute Finland,60.16952,24.93545
529,Rzeszow University of Technology,50.04132,21.99901
530,Mahidol University,13.75398,100.50144
531,Vidyasirimedhi Institute of Science and Technology,12.68095,101.25798
532,University Jean Monnet,40.95653,16.92075
533,Peking university,39.9075,116.39723
534,Trinity College,53.33306,-6.24889
535,Université Paris Cité,48.85341,2.3488
536,Universidad Privada Boliviana,-17.3895,-66.1568
537,Dalian maritime university,38.91222,121.60222
538,Indiana University Purdue University Indianapolis,39.76838,-86.15804
539,Colorado State University Pueblo,38.25445,-104.60914
540,Université d'Avignon,43.94834,4.80892
541,Queen's University,44.22976,-76.48098
542,HTW Berlin,52.52437,13.41053
543,Institute of Systems Engineering,51.05089,13.73832
544,Karolinska Institutet,59.32938,18.06871
545,Science for Life Laboratory,59.32938,18.06871
546,Beijing  Jiaotong University,39.9075,116.39723
547,University of Akron,41.08144,-81.51901
548,Amadeus,40.4165,-3.70256
549,SungkyunKwan University,37.566,126.9784
550,Sungkyunkwan,37.566,126.9784
551,Chennai Mathematical Institute,13.08784,80.27847
552,Ericsson,59.40316,17.94479
553,University of Brescia,45.53558,10.21472
554,Institut für Informatik,53.14118,8.21467
555,Food and Drug Administration,38.99067,-77.02609
556,Inria Grenoble-Alpes,45.22537,5.8017
557,Dickinson College,40.20148,-77.18887
558,Work,43.70643,-79.39864
559,Southern Illinois University-Carbondale,37.72727,-89.21675
560,Ubisoft,45.50884,-73.58781
561,Dexcom,32.71571,-117.16472
562,Radboud University Medical Center,51.8425,5.85278
563,University of Arkansas - Fayetteville,36.06258,-94.15743
564,San Diego Supercomputer Center,32.71571,-117.16472
565,Fortiss,48.13743,11.57549
566,North-West University,-26.71667,27.1
567,Dalle Molle Institute for Artificial Intelligence Research,46.01008,8.96004
568,Friedrich-Alexander-Universität,49.59099,11.00783
569,University of California-Los Angeles,34.05223,-118.24368
570,Luleå University of Technology,65.58415,22.15465
571,Complexity Science Hub,48.20849,16.37208
572,LINE,40.04622,-75.35991
573,Saint Louis University,38.62727,-90.19789
574,Atmospheric Environmental Research,42.44732,-71.2245
575,Johannes Kepler University,48.30639,14.28611
576,Leidos Inc,39.41427,-77.41054
577,Zhejiang University of Finance and Economics,30.29365,120.16142
578,MD Anderson Cancer Center,29.76328,-95.36327
579,Thales,48.85341,2.3488
580,Holy Spirit University of Kaslik,33.89332,35.50157
581,Reitaku University,35.86224,139.97733
582,Beijing Normal University-Hong Kong Baptist University United International College,22.27694,113.56778
583,Lebanese University,33.89332,35.50157
584,Universidad Católica del Uruguay,-34.90328,-56.18816
585,NTT Research,35.44272,139.36931
586,ZHIPU AI,39.9075,116.39723
587,Apollo Research,13.21055,79.0956
588,Space Telescope Science Institute,39.29038,-76.61219
589,AI Singapore,1.28967,103.85007
590,University of Rwanda,-2.59667,29.73944
591,Institute of Immunology and Physiology,56.8519,60.6122
592,Instituto Politécnico Nacional,19.42847,-99.12766
593,China university of petroleum,39.9075,116.39723
594,Yamaha,34.7,137.73334
595,Sirius University of Science and Technology,43.59699,39.72477
596,Örebro University,59.27412,15.2066
597,Leibniz university,52.37052,9.73322
598,ShangHai Artificial Intelligence Laboratory,31.22222,121.45806
599,École française d'Extrême-Orient,48.85341,2.3488
600,Mediatek,24.80361,120.96861
601,helmholtz zentrum hereon,53.43575,10.3779
602,Beihang  University,39.9075,116.39723
603,Beijing Electronic Science and Technology Institute,39.9075,116.39723
604,Evidation Health,37.56299,-122.32553
605,vector,43.70643,-79.39864
606,Shanghai Jiao tong University,31.22222,121.45806
607,Input Output,1.28967,103.85007
608,University Ca' Foscari of Venice,45.43713,12.33265
609,Swarthmore College,39.90206,-75.34991
610,Max Planck Institute of Animal Behavior,47.74194,8.97098
611,Qihoo,39.9075,116.39723
612,Cognizant,40.8976,-74.01597
613,Wuhan university science and technology,30.58333,114.26667
614,qihoo,39.9075,116.39723
615,Institute of computing,39.9075,116.39723
616,FPT University,21.0245,105.84117
617,NanJing Audit University,32.06167,118.77778
618,Imam Abdulrahman Bin Faisal University,26.43442,50.10326
619,University of Texas Health Science Center at Houston,29.76328,-95.36327
620,Université Claude Bernard Lyon,45.76601,4.8795
621,Université de Bordeaux,44.84044,-0.5805
622,St. Louis University,38.62727,-90.19789
623,Rhode Island School of Design,41.82399,-71.41283
624,Vivo,33.52066,-86.80249
625,Kuwait University,29.36972,47.97833
626,Capital University of Physical Education and Sports,39.9075,116.39723
627,National Tsing-Hua University,24.80361,120.96861
628,National Taiwan University Hospital,25.05306,121.52639
629,Regensburg University,49.01513,12.10161
630,Sangmyung University,36.8065,127.1522
631,University of Poznan,52.40692,16.92993
632,Institut Polytechnique de Paris,48.71828,2.2498
633,Instituto Nacional de Matemática Pura e Aplicada,-22.90642,-43.18223
634,Clermont-Auvergne-INP,45.75082,3.11078
